
The station contributions are:
    Name     Contribution  %Contribution   Accumulated cont.    Magnitude
1) CRO1_NAP    2205.647        1.167              1.167              1.880
2) VITH_NAP    2158.249        1.142              2.309              0.079
3) BYSP_NAP    2047.494        1.083              3.392              0.167
4) STVI_NAP    1962.993        1.039              4.431              0.369
5) VIKH        1706.900        0.903              5.334              1.765
6) VIKH_NAP    1705.919        0.903              6.236              1.812
7) MIPR_NAP    1668.605        0.883              7.119              0.363
8) CUPR_NAP    1573.069        0.832              7.951              0.254
9) PRAR_NAP    1540.292        0.815              8.766              0.968
10) CRO1        1524.442        0.807              9.573              1.502
11) SMRT_NAP    1514.688        0.801              10.374              1.659
12) GEOL_NAP    1508.736        0.798              11.172              0.867
13) PUR3_NAP    1444.068        0.764              11.936              0.359
14) BDOS        1358.447        0.719              12.655              0.173
15) ZSU1_NAP    1274.339        0.674              13.329              0.051
16) PRLP_NAP    1254.574        0.664              13.993              0.483
17) PRHL_NAP    1251.582        0.662              14.655              0.173
18) NGLF        1197.146        0.633              15.288              2.003
19) HLFX_NAP    1162.517        0.615              15.903              0.269
20) PRN4_NAP    1128.430        0.597              16.500              0.699
21) MAND        1048.498        0.555              17.055              0.227
22) BRMU_NAP    1012.142        0.535              17.590              0.767
23) MVRN        988.049        0.523              18.113              0.381
24) EPRT_NAP    936.273        0.495              18.608              0.656
25) KNOX        862.799        0.456              19.065              0.035
26) CAPL_NAP    822.380        0.435              19.500              0.671
27) CN05_NAP    796.261        0.421              19.921              0.765
28) ABVI_NAP    791.795        0.419              20.340              1.221
29) PLND        784.757        0.415              20.755              0.625
30) PIKE        767.246        0.406              21.161              0.407
31) WARF        756.019        0.400              21.561              0.364
32) CN03_NAP    745.552        0.394              21.956              0.791
33) CAVE        732.402        0.387              22.343              0.140
34) ALEX        721.508        0.382              22.725              0.072
35) MAYZ_NAP    720.258        0.381              23.106              0.421
36) LINS        716.012        0.379              23.485              0.489
37) NPRI_NAP    706.966        0.374              23.859              0.108
38) MCTN_NAP    699.588        0.370              24.229              0.374
39) GRE0        697.281        0.369              24.598              1.521
40) BARH_NAP    685.211        0.363              24.960              0.221
41) CN02_NAP    684.924        0.362              25.323              2.230
42) LION        682.923        0.361              25.684              0.739
43) SPED_NAP    680.298        0.360              26.044              0.648
44) BTCC        676.738        0.358              26.402              0.494
45) MRNT        646.837        0.342              26.744              0.855
46) FALM        636.627        0.337              27.081              1.050
47) CASL        633.939        0.335              27.416              0.682
48) MNRO        624.353        0.330              27.747              0.282
49) VCAP_NAP    618.697        0.327              28.074              0.557
50) DISC        598.269        0.317              28.391              0.644
51) MRA2_NAP    588.345        0.311              28.702              0.506
52) NUTF        564.204        0.298              29.000              0.441
53) MANC        558.881        0.296              29.296              1.067
54) FRDN_NAP    554.034        0.293              29.589              0.352
55) MORA        547.937        0.290              29.879              0.899
56) NEGR        538.126        0.285              30.164              1.460
57) LUCE        534.193        0.283              30.446              1.117
58) KNGJ        531.582        0.281              30.727              0.624
