
The station contributions are:
    Name     Contribution  %Contribution   Accumulated cont.    Magnitude
1) CRO1_NAP    2198.110        1.164              1.164              1.737
2) VITH_NAP    2158.228        1.143              2.307              0.079
3) BYSP_NAP    2049.524        1.085              3.392              0.177
4) STVI_NAP    1962.975        1.039              4.431              0.369
5) VIKH        1701.471        0.901              5.332              1.620
6) VIKH_NAP    1699.194        0.900              6.232              1.667
7) MIPR_NAP    1670.052        0.884              7.116              0.369
8) CUPR_NAP    1573.079        0.833              7.949              0.251
9) PRAR_NAP    1541.725        0.816              8.766              0.965
10) CRO1        1521.402        0.806              9.571              1.356
11) SMRT_NAP    1512.042        0.801              10.372              1.658
12) GEOL_NAP    1508.931        0.799              11.171              0.863
13) PUR3_NAP    1444.201        0.765              11.936              0.364
14) BDOS        1355.788        0.718              12.654              0.181
15) ZSU1_NAP    1275.506        0.675              13.329              0.061
16) PRLP_NAP    1255.174        0.665              13.994              0.480
17) PRHL_NAP    1252.764        0.663              14.657              0.171
18) HLFX_NAP    1163.685        0.616              15.273              0.266
19) PRN4_NAP    1129.401        0.598              15.871              0.696
20) MVRN        1041.462        0.551              16.423              0.747
21) BRMU_NAP    1012.911        0.536              16.959              0.760
22) MAND        1012.528        0.536              17.495              0.756
23) NGLF        980.658        0.519              18.015              0.761
24) EPRT_NAP    937.172        0.496              18.511              0.659
25) KNOX        919.941        0.487              18.998              0.247
26) PLND        846.088        0.448              19.446              0.915
27) CAPL_NAP    823.291        0.436              19.882              0.672
28) WARF        813.745        0.431              20.313              0.567
29) CN05_NAP    809.776        0.429              20.742              0.904
30) LION        803.199        0.425              21.167              0.734
31) ABVI_NAP    791.754        0.419              21.586              1.222
32) MNRO        754.817        0.400              21.986              1.052
33) CAVE        752.548        0.398              22.384              0.227
34) CN03_NAP    745.046        0.395              22.779              0.795
35) MAYZ_NAP    720.329        0.381              23.160              0.425
36) ALEX        712.554        0.377              23.538              0.191
37) NPRI_NAP    707.468        0.375              23.912              0.111
38) MCTN_NAP    700.313        0.371              24.283              0.374
39) LINS        697.573        0.369              24.652              0.093
40) GRE0        696.463        0.369              25.021              1.480
41) PIKE        689.364        0.365              25.386              0.702
42) BARH_NAP    685.819        0.363              25.749              0.221
43) CN02_NAP    683.548        0.362              26.111              2.211
44) SPED_NAP    671.060        0.355              26.467              0.572
45) BTCC        663.309        0.351              26.818              0.536
46) HALS        646.475        0.342              27.160              1.109
47) VCAP_NAP    619.193        0.328              27.488              0.560
48) MRA2_NAP    588.970        0.312              27.800              0.507
49) MRNT        572.002        0.303              28.103              0.354
50) CASL        571.358        0.303              28.405              0.205
51) DISC        566.515        0.300              28.705              0.678
52) FRDN_NAP    554.590        0.294              28.999              0.356
53) KNGJ        548.653        0.291              29.290              0.056
54) NUTF        537.755        0.285              29.574              0.772
55) JUNC        519.376        0.275              29.849              0.991
56) AOPR_NAP    515.000        0.273              30.122              0.798
57) SPAU        511.489        0.271              30.393              0.323
58) NCAS        507.019        0.268              30.661              0.842
59) WYLC_NAP    506.544        0.268              30.930              0.178
60) LOUP_NAP    497.464        0.263              31.193              0.436
61) MANC        492.396        0.261              31.454              0.511
62) P042_NAP    491.504        0.260              31.714              0.509
63) MORA        490.588        0.260              31.974              0.461
64) PLTC_NAP    487.183        0.258              32.232              0.246
65) AMC2_NAP    481.300        0.255              32.487              0.345
66) RDSD_NAP    481.136        0.255              32.741              1.119
67) ZNY1_NAP    471.843        0.250              32.991              0.330
68) SHER_NAP    467.325        0.247              33.239              0.514
69) FONT        459.028        0.243              33.482              0.622
70) CTGR_NAP    456.449        0.242              33.724              0.105
71) LVEG_NAP    454.095        0.240              33.964              1.125
72) NEGR        453.041        0.240              34.204              1.246
73) NMRO_NAP    449.551        0.238              34.442              0.712
74) CN11        444.190        0.235              34.677              0.356
75) NHUN_NAP    442.666        0.234              34.911              0.500
76) P054_NAP    437.252        0.232              35.143              0.695
77) CN08_NAP    434.348        0.230              35.373              0.105
78) CTPU_NAP    432.149        0.229              35.602              0.351
79) PRTJ        426.789        0.226              35.828              0.481
80) CTGU_NAP    425.875        0.226              36.053              0.103
81) WOOD_NAP    425.328        0.225              36.279              0.126
82) FALM        424.701        0.225              36.503              0.721
83) UWIN        423.124        0.224              36.728              0.993
84) P043_NAP    422.914        0.224              36.951              0.465
85) RG12_NAP    413.885        0.219              37.171              0.704
86) LAMT_NAP    409.574        0.217              37.387              0.273
87) P038_NAP    403.833        0.214              37.601              0.602
88) CTEG_NAP    402.554        0.213              37.814              0.120
89) CARM_NAP    401.597        0.213              38.027              0.725
90) RG08_NAP    400.448        0.212              38.239              0.669
91) EDON_NAP    398.701        0.211              38.450              0.672
92) LCAY_NAP    394.174        0.209              38.659              1.619
93) CN10        394.035        0.209              38.868              0.273
94) RG24_NAP    392.142        0.208              39.075              0.428
95) WES2_NAP    392.123        0.208              39.283              0.283
96) ZBW1_NAP    391.968        0.208              39.491              0.272
97) LUCE        389.971        0.206              39.697              0.626
98) CTNE_NAP    380.618        0.202              39.899              0.331
99) WIL1_NAP    379.439        0.201              40.099              0.356
100) CTBR_NAP    374.853        0.198              40.298              0.388
101) CN12        372.455        0.197              40.495              0.423
102) P040_NAP    371.543        0.197              40.692              0.327
103) JME2_NAP    370.664        0.196              40.888              1.225
104) URIL_NAP    370.467        0.196              41.084              0.402
105) WHTJ        369.700        0.196              41.280              0.493
106) BAIE_NAP    369.615        0.196              41.476              1.000
107) CTDA_NAP    367.731        0.195              41.671              0.281
108) CTWI_NAP    367.577        0.195              41.865              0.497
109) BRAE        360.268        0.191              42.056              0.552
110) NYHS_NAP    355.316        0.188              42.244              0.395
111) P776_NAP    352.113        0.186              42.431              0.521
112) NYVH_NAP    351.394        0.186              42.617              0.354
113) NYCI_NAP    351.345        0.186              42.803              0.254
114) P044_NAP    350.557        0.186              42.988              0.286
115) P039_NAP    349.256        0.185              43.173              0.457
116) NYPB_NAP    349.086        0.185              43.358              0.501
117) SCUB        347.530        0.184              43.542              1.286
118) CHIC_NAP    347.059        0.184              43.726              1.103
119) CMP2_NAP    344.819        0.183              43.908              0.669
120) TXAM_NAP    344.420        0.182              44.091              0.702
121) VTSA_NAP    343.809        0.182              44.273              0.562
122) P070_NAP    340.637        0.180              44.453              0.516
123) VTUV_NAP    340.091        0.180              44.633              0.555
124) NJMT_NAP    339.259        0.180              44.813              0.299
125) GODE_NAP    337.173        0.179              44.992              0.204
126) NYST_NAP    336.201        0.178              45.170              0.635
127) NJGC_NAP    335.888        0.178              45.347              0.045
128) MEMA_NAP    331.448        0.176              45.523              0.656
129) PCJB        331.163        0.175              45.698              0.225
130) MOPR_NAP    329.254        0.174              45.873              1.271
131) RIMO_NAP    329.233        0.174              46.047              1.081
132) TXLU_NAP    329.025        0.174              46.221              0.188
133) NYET_NAP    328.477        0.174              46.395              0.461
134) SJPA_NAP    328.171        0.174              46.569              0.247
135) TRVQ_NAP    328.139        0.174              46.743              0.943
136) BARA_NAP    324.086        0.172              46.914              1.270
137) COFE        323.520        0.171              47.086              2.921
138) PRLT_NAP    322.252        0.171              47.256              1.864
139) NJTR_NAP    321.205        0.170              47.426              0.436
140) NJOC_NAP    320.697        0.170              47.596              0.064
141) NYML_NAP    320.095        0.169              47.766              0.532
142) ANNE_NAP    318.788        0.169              47.934              0.830
143) TXSN_NAP    318.425        0.169              48.103              0.165
144) MARJ        318.301        0.169              48.272              0.460
145) NYFV_NAP    315.964        0.167              48.439              0.517
146) GOAT        310.794        0.165              48.603              1.122
147) HELL        306.574        0.162              48.766              1.357
148) VTC1_NAP    303.080        0.160              48.926              0.412
149) LVPL_NAP    302.057        0.160              49.086              0.417
150) TXPE_NAP    301.367        0.160              49.246              1.071
151) SHE2_NAP    297.736        0.158              49.403              0.197
152) GEOG_NAP    294.398        0.156              49.559              1.103
153) CHIB_NAP    293.686        0.156              49.715              0.994
154) PARL_NAP    293.206        0.155              49.870              0.174
155) VTD9_NAP    292.048        0.155              50.025              0.590
156) NYON_NAP    290.638        0.154              50.179              0.487
157) NYMD_NAP    289.999        0.154              50.332              0.027
158) NYKT_NAP    288.726        0.153              50.485              0.367
159) NJCM_NAP    287.797        0.152              50.638              0.169
160) MEDX_NAP    282.583        0.150              50.787              0.263
161) NYRH_NAP    281.755        0.149              50.936              0.092
162) NYPD_NAP    281.701        0.149              51.085              0.949
163) P055_NAP    280.542        0.149              51.234              1.790
164) ATRI_NAP    279.069        0.148              51.382              0.759
165) KNGS_NAP    276.327        0.146              51.528              0.643
166) RG13_NAP    275.614        0.146              51.674              1.183
167) NYIL_NAP    273.743        0.145              51.819              0.680
168) CN30        273.314        0.145              51.964              0.677
169) HEBB_NAP    273.230        0.145              52.108              0.124
170) NYRM_NAP    272.762        0.144              52.253              0.545
171) NRC1_NAP    271.989        0.144              52.397              0.596
172) LYCO_NAP    271.149        0.144              52.540              0.354
173) SHEL_NAP    270.107        0.143              52.684              0.909
174) MEPI_NAP    268.844        0.142              52.826              0.141
175) LTWN_NAP    268.457        0.142              52.968              0.153
176) JMEL_NAP    268.055        0.142              53.110              3.692
177) NYHC_NAP    266.847        0.141              53.251              0.589
178) BOSC        266.454        0.141              53.392              0.648
179) SG07_NAP    262.591        0.139              53.531              0.484
180) NYBH_NAP    262.130        0.139              53.670              0.492
181) VTOX_NAP    261.671        0.139              53.809              0.802
182) SROD_NAP    260.524        0.138              53.947              1.151
183) CORB_NAP    260.091        0.138              54.084              0.346
184) BRU1_NAP    260.010        0.138              54.222              0.379
185) BSMK_NAP    259.125        0.137              54.359              0.610
186) NYNB_NAP    258.301        0.137              54.496              0.889
187) LAUR_NAP    258.291        0.137              54.633              0.614
188) NYWT_NAP    257.780        0.136              54.769              0.570
189) XMTS_NAP    257.358        0.136              54.906              0.716
190) NYQN_NAP    256.196        0.136              55.041              0.316
191) CN06_NAP    255.793        0.135              55.177              0.949
192) NJSC_NAP    255.747        0.135              55.312              0.527
193) STAN        255.744        0.135              55.448              0.169
194) PNB1_NAP    254.978        0.135              55.583              0.291
195) FMTS_NAP    254.956        0.135              55.718              0.322
196) GTK0_NAP    254.152        0.135              55.852              1.186
197) TXCH_NAP    253.846        0.134              55.987              1.210
198) BARN_NAP    253.440        0.134              56.121              0.877
199) SG06_NAP    253.075        0.134              56.255              0.369
200) WASH_NAP    252.034        0.133              56.388              0.348
201) VTMI_NAP    251.946        0.133              56.522              0.260
202) GAS2_NAP    250.720        0.133              56.654              0.099
203) MEGO_NAP    247.840        0.131              56.786              0.713
204) YORK_NAP    247.073        0.131              56.917              0.520
205) MEJD_NAP    246.754        0.131              57.047              0.539
206) P780_NAP    245.827        0.130              57.177              1.099
207) NHCO_NAP    245.767        0.130              57.307              0.584
208) KEMP        245.051        0.130              57.437              1.757
209) TCUN_NAP    243.853        0.129              57.566              0.490
210) PAMS_NAP    243.724        0.129              57.695              0.547
211) NYMX_NAP    243.188        0.129              57.824              0.544
212) VTBE_NAP    243.112        0.129              57.953              0.291
213) PSU1_NAP    242.449        0.128              58.081              0.221
214) VTDA_NAP    242.298        0.128              58.210              0.350
215) NYRB_NAP    241.856        0.128              58.338              0.925
216) NYLV_NAP    240.713        0.127              58.465              0.554
217) MATU_NAP    239.056        0.127              58.592              0.770
218) CN27_NAP    237.358        0.126              58.717              1.471
219) DGBY_NAP    235.766        0.125              58.842              0.304
220) NJTW_NAP    235.212        0.125              58.967              0.054
221) MOR1_NAP    233.925        0.124              59.091              0.550
222) ALGO_NAP    233.845        0.124              59.214              1.043
223) PSC1_NAP    233.065        0.123              59.338              0.707
224) VTSP_NAP    232.317        0.123              59.461              0.447
225) CN07_NAP    231.146        0.122              59.583              2.860
226) DEMI_NAP    229.033        0.121              59.705              0.514
227) NJWC_NAP    228.283        0.121              59.825              1.910
228) PEDR        227.523        0.120              59.946              1.127
229) NYHL_NAP    226.965        0.120              60.066              0.611
230) GDAC_NAP    225.147        0.119              60.185              0.622
231) TXAB_NAP    224.962        0.119              60.304              0.424
232) NJTP_NAP    224.934        0.119              60.424              0.075
233) MEGR_NAP    224.677        0.119              60.543              0.883
234) TXHR_NAP    224.373        0.119              60.661              0.383
235) MRRN_NAP    223.316        0.118              60.780              0.488
236) PRJC_NAP    221.238        0.117              60.897              0.997
237) WHN5_NAP    221.190        0.117              61.014              0.198
238) VOIL_NAP    219.377        0.116              61.130              2.392
239) NCJA_NAP    219.077        0.116              61.246              1.043
240) HAMP_NAP    217.534        0.115              61.361              1.664
241) DENE_NAP    217.136        0.115              61.476              0.219
242) TXCG_NAP    216.851        0.115              61.591              0.106
243) WHN1_NAP    216.486        0.115              61.706              0.249
244) TXCE_NAP    216.070        0.114              61.820              0.977
245) COVX_NAP    215.864        0.114              61.934              0.254
246) LGNE_NAP    215.118        0.114              62.048              1.471
247) ZDC1_NAP    214.087        0.113              62.162              0.481
248) NJDY_NAP    213.301        0.113              62.275              0.359
249) NYWL_NAP    212.453        0.112              62.387              0.470
250) NYCP_NAP    212.066        0.112              62.499              0.465
251) TXLR_NAP    210.976        0.112              62.611              0.402
252) HNPT_NAP    210.722        0.112              62.723              0.160
253) TXKM_NAP    210.421        0.111              62.834              1.517
254) MDO1_NAP    209.190        0.111              62.945              0.682
255) NYCL_NAP    207.191        0.110              63.055              0.634
256) LATU_NAP    207.036        0.110              63.164              0.971
257) DNRC_NAP    206.155        0.109              63.273              0.081
258) PASS_NAP    204.268        0.108              63.382              0.340
259) PRMA_NAP    204.052        0.108              63.490              1.358
260) TXTU_NAP    202.499        0.107              63.597              0.379
261) MEFR_NAP    202.338        0.107              63.704              0.264
262) BARB        202.007        0.107              63.811              1.146
263) MASA_NAP    201.523        0.107              63.918              1.634
264) HVLK_NAP    198.966        0.105              64.023              0.773
265) MERA_NAP    198.185        0.105              64.128              0.640
266) NYCS_NAP    197.650        0.105              64.233              0.558
267) VTRU_NAP    197.171        0.104              64.337              0.698
268) NYWV_NAP    196.673        0.104              64.441              0.659
269) GAIT_NAP    196.600        0.104              64.545              0.046
270) MTGN_NAP    196.357        0.104              64.649              0.089
271) VAGP_NAP    194.774        0.103              64.752              0.233
272) NDMB_NAP    194.490        0.103              64.855              0.943
273) MNTQ_NAP    192.914        0.102              64.958              0.872
274) SHK1_NAP    191.702        0.102              65.059              3.413
275) MAMI_NAP    191.334        0.101              65.160              0.328
276) MELI_NAP    191.320        0.101              65.262              0.754
277) SAN0        190.910        0.101              65.363              0.772
278) JAMA        190.109        0.101              65.463              1.089
279) BATH_NAP    188.813        0.100              65.563              0.356
280) OSPA_NAP    188.517        0.100              65.663              0.802
281) CN14_NAP    188.210        0.100              65.763              1.273
282) VTD7_NAP    188.129        0.100              65.862              0.714
283) IDGO_NAP    188.113        0.100              65.962              0.893
284) MESP_NAP    187.864        0.099              66.062              0.495
285) BACO_NAP    187.118        0.099              66.161              0.238
286) TXSA_NAP    185.879        0.098              66.259              0.365
287) UNB1_NAP    185.774        0.098              66.357              0.360
288) SOL1_NAP    184.468        0.098              66.455              0.130
289) CAMB_NAP    183.405        0.097              66.552              0.808
290) NYPF_NAP    183.048        0.097              66.649              0.503
291) USNO_NAP    180.558        0.096              66.745              0.044
292) MECC_NAP    179.876        0.095              66.840              0.761
293) LPOC_NAP    179.166        0.095              66.935              0.643
294) OKLW_NAP    179.047        0.095              67.030              1.179
295) LOYF_NAP    177.558        0.094              67.124              0.153
296) UMBC_NAP    177.459        0.094              67.218              0.136
297) VAWI_NAP    177.254        0.094              67.312              0.426
298) LS03_NAP    176.884        0.094              67.405              0.246
299) TXLL_NAP    175.557        0.093              67.498              0.655
300) NYAB_NAP    175.167        0.093              67.591              0.553
301) GATI_NAP    174.642        0.092              67.683              0.703
302) NCBE_NAP    174.070        0.092              67.776              0.086
303) NEGI_NAP    173.102        0.092              67.867              0.233
304) NYBT_NAP    172.986        0.092              67.959              0.507
305) LOYZ_NAP    172.843        0.092              68.050              0.590
306) CTMA_NAP    171.899        0.091              68.141              0.661
307) NYWG_NAP    171.024        0.091              68.232              0.518
308) TXPD_NAP    170.352        0.090              68.322              0.602
309) NAS0_NAP    170.166        0.090              68.412              1.315
